disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Name,Exposed Population 100km,Max Volc. Explosivity Index VEI,Population Exposure Index PEI
VO_PNG_20190618_48,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_MEX_20190726_49,"[-98.622, 19.023]",Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1,Green,0.5,Mexico,7/26/2019,2020-02-23T00:00:00,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl (),About 27990000 people within 100km,5,5
VO_REU_20190611_50,"[55.708, -21.244]","Green Eruption Fournaise, Piton de la in France at: 25 Oct 2019 00:00.",Green,1,Green,0.5,France,6/11/2019,2019-10-25T00:00:00,0,TOULOUSE,REU,VO,VO 233020,"Fournaise, Piton de la ()",About 850000 people within 100km,5,5
VO_PNG_20190627_51,"[151.33, -5.05]",Green Eruption Ulawun in Papua New Guinea at: 01 Oct 2019 00:00.,Green,1,Green,0.5,Papua New Guinea,6/27/2019,2019-10-01T00:00:00,0,DARWIN,PNG,VO,VO 252120,Ulawun (),About 87000 people within 100km,4,2
VO_ITA_20190719_52,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_53,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_54,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_55,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_IDN_20191014_56,"[110.446, -7.54]",Green Eruption Merapi in Indonesia at: 22 Jun 2020 00:00.,Green,1,Green,0.5,Indonesia,10/14/2019,2020-06-22T00:00:00,0,DARWIN,IDN,VO,VO 263250,Merapi (),About 24400000 people within 100km,4,7
VO_IDN_20190801_57,"[105.423, -6.102]",Green Eruption Krakatau in Indonesia at: 13 Apr 2020 00:00.,Green,1,Green,0.5,Indonesia,8/1/2019,2020-04-13T00:00:00,0,DARWIN,IDN,VO,VO 262000,Krakatau (),About 7380000 people within 100km,6,4
VO_PNG_20190618_58,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_MEX_20190726_59,"[-98.622, 19.023]",Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1,Green,0.5,Mexico,7/26/2019,2020-02-23T00:00:00,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl (),About 27990000 people within 100km,5,5
VO_ECU_20191121_60,"[-78.341, -2.005]",Green Eruption Sangay in Ecuador at: 06 Oct 2020 00:00.,Green,1,Green,0.5,Ecuador,11/21/2019,2020-10-06T00:00:00,0,WASHINGTON,ECU,VO,VO 352090,Sangay (352090),About 1530000 people within 100km,3,3
VO_ITA_20190719_61,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_62,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_63,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_64,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_IDN_20191014_65,"[110.446, -7.54]",Green Eruption Merapi in Indonesia at: 22 Jun 2020 00:00.,Green,1,Green,0.5,Indonesia,10/14/2019,2020-06-22T00:00:00,0,DARWIN,IDN,VO,VO 263250,Merapi (),About 24400000 people within 100km,4,7
VO_IDN_20190801_66,"[105.423, -6.102]",Green Eruption Krakatau in Indonesia at: 13 Apr 2020 00:00.,Green,1,Green,0.5,Indonesia,8/1/2019,2020-04-13T00:00:00,0,DARWIN,IDN,VO,VO 262000,Krakatau (),About 7380000 people within 100km,6,4
VO_PNG_20190618_67,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_MEX_20190726_68,"[-98.622, 19.023]",Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1,Green,0.5,Mexico,7/26/2019,2020-02-23T00:00:00,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl (),About 27990000 people within 100km,5,5
VO_GTM_20191129_69,"[-90.88, 14.473]",Green Eruption Fuego in Guatemala at: 09 Jan 2020 00:00.,Green,1,Green,0.5,Guatemala,11/29/2019,2020-01-09T00:00:00,0,JRC,GTM,VO,VO 342090,Fuego (),About 8730000 people within 100km,4,5
VO_ECU_20191121_70,"[-78.341, -2.005]",Green Eruption Sangay in Ecuador at: 06 Oct 2020 00:00.,Green,1,Green,0.5,Ecuador,11/21/2019,2020-10-06T00:00:00,0,WASHINGTON,ECU,VO,VO 352090,Sangay (352090),About 1530000 people within 100km,3,3
VO_ITA_20190719_71,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_72,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_73,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_74,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_IDN_20191014_75,"[110.446, -7.54]",Green Eruption Merapi in Indonesia at: 22 Jun 2020 00:00.,Green,1,Green,0.5,Indonesia,10/14/2019,2020-06-22T00:00:00,0,DARWIN,IDN,VO,VO 263250,Merapi (),About 24400000 people within 100km,4,7
