disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_COD_20210223_48,Green,1,GREEN,1,The Democratic Republic of Congo,2/23/2021,2021-03-05T00:00:00,7576,GWIS,COD,WF,WF 1000141,3080 in the burned area,The Democratic Republic of Congo,10,7576 ha
WF_COD_20210220_49,Green,1,GREEN,1,The Democratic Republic of Congo,2/20/2021,2021-03-05T00:00:00,25753,GWIS,COD,WF,WF 1000153,1517 in the burned area,The Democratic Republic of Congo,13,25753 ha
WF_COD_20210223_50,Green,1,GREEN,1,The Democratic Republic of Congo,2/23/2021,2021-03-04T00:00:00,5523,GWIS,COD,WF,WF 1000140,786 in the burned area,The Democratic Republic of Congo,9,5523 ha
WF_CAF_20210226_51,Green,1,GREEN,1,Central African Republic,2/26/2021,2021-03-04T00:00:00,5097,GWIS,CAF,WF,WF 1000119,0 in the burned area,Central African Republic,6,5097 ha
WF_THA_20210220_52,Green,1,GREEN,1,Thailand,2/20/2021,2021-03-02T00:00:00,8254,GWIS,THA,WF,WF 1000152,0 in the burned area,Thailand,10,8254 ha
WF_COD_20210225_53,Green,1,GREEN,1,The Democratic Republic of Congo,2/25/2021,2021-03-01T00:00:00,6657,GWIS,COD,WF,WF 1000125,0 in the burned area,The Democratic Republic of Congo,4,6657 ha
WF_NPL_20210325_54,GREEN,1,GREEN,1,Nepal,3/25/2021,2021-04-29T00:00:00,11976,GWIS,NPL,WF,WF 1000377,6476 in the burned area,Nepal,35,11976 ha
WF_IND_20210322_55,Green,1,GREEN,1,India,3/22/2021,2021-04-29T00:00:00,46221,GWIS,IND,WF,WF 1000205,170150 in the burned area,India,38,46221 ha
WF_IND_20210325_56,Green,1,GREEN,1,India,3/25/2021,2021-04-28T00:00:00,12134,GWIS,IND,WF,WF 1000204,18876 in the burned area,India,34,12134 ha
WF_IND_20210322_57,Green,1,GREEN,1,India,3/22/2021,2021-04-27T00:00:00,33007,GWIS,IND,WF,WF 1000195,9041 in the burned area,India,36,33007 ha
WF_IND_20210326_58,GREEN,1,GREEN,1,India,3/26/2021,2021-04-27T00:00:00,7034,GWIS,IND,WF,WF 1000376,1400 in the burned area,India,32,7034 ha
WF_NPL_20210318_59,Green,1,GREEN,1,Nepal,3/18/2021,2021-04-20T00:00:00,11025,GWIS,NPL,WF,WF 1000170,245 in the burned area,Nepal,33,11025 ha
WF_LAO_20210317_60,Green,1,GREEN,1,Laos,3/17/2021,2021-04-18T00:00:00,7440,GWIS,LAO,WF,WF 1000089,0 in the burned area,Laos,32,7440 ha
WF_NPL_20210316_61,Green,1,GREEN,1,Nepal,3/16/2021,2021-04-16T00:00:00,58755,GWIS,NPL,WF,WF 1000095,33676 in the burned area,Nepal,31,58755 ha
WF_IND_20210328_62,Green,1,GREEN,1,India,3/28/2021,2021-04-16T00:00:00,5206,GWIS,IND,WF,WF 1000037,7025 in the burned area,India,19,5206 ha
WF_CHN_20210330_63,Green,1,GREEN,1,China,3/30/2021,2021-04-15T00:00:00,10020,GWIS,CHN,WF,WF 1000029,14156 in the burned area,China,16,10020 ha
WF_MLI_20210331_64,Green,1,GREEN,1,Mali,3/31/2021,2021-04-14T00:00:00,6439,GWIS,MLI,WF,WF 1000026,3 in the burned area,Mali,14,6439 ha
WF_KHM_20210308_65,Green,1,GREEN,1,Cambodia,3/8/2021,2021-04-13T00:00:00,7037,GWIS,KHM,WF,WF 1000104,0 in the burned area,Cambodia,36,7037 ha
WF_IND_20210325_66,GREEN,1,GREEN,1,India,3/25/2021,2021-04-12T00:00:00,21944,GWIS,IND,WF,WF 1000378,21061 in the burned area,India,18,21944 ha
WF_IND_20210331_67,Green,1,GREEN,1,India,3/31/2021,2021-04-12T00:00:00,5259,GWIS,IND,WF,WF 1000027,0 in the burned area,India,12,5259 ha
WF_IND_20210325_68,Green,1,GREEN,1,India,3/25/2021,2021-04-12T00:00:00,5130,GWIS,IND,WF,WF 1000055,148 in the burned area,India,18,5130 ha
WF_IND_20210324_69,Green,1,GREEN,1,India,3/24/2021,2021-04-11T00:00:00,8947,GWIS,IND,WF,WF 1000061,5005 in the burned area,India,18,8947 ha
WF_IND_20210327_70,Green,1,GREEN,1,India,3/27/2021,2021-04-10T00:00:00,5727,GWIS,IND,WF,WF 1000044,1728 in the burned area,India,14,5727 ha
WF_COD_20210328_71,Green,1,GREEN,1,The Democratic Republic of Congo,3/28/2021,2021-04-09T00:00:00,5454,GWIS,COD,WF,WF 1000038,163 in the burned area,The Democratic Republic of Congo,12,5454 ha
WF_CHN_20210325_72,Green,1,GREEN,1,China,3/25/2021,2021-04-09T00:00:00,5590,GWIS,CHN,WF,WF 1000054,3603 in the burned area,China,15,5590 ha
WF_CHN_20210330_73,GREEN,1,GREEN,1,China,3/30/2021,2021-04-09T00:00:00,8154,GWIS,CHN,WF,WF 1000369,9627 in the burned area,China,10,8154 ha
WF_IND_20210327_74,GREEN,1,GREEN,1,India,3/27/2021,2021-04-08T00:00:00,11149,GWIS,IND,WF,WF 1000373,0 in the burned area,India,12,11149 ha
WF_IND_20210321_75,Green,1,GREEN,1,India,3/21/2021,2021-04-08T00:00:00,32727,GWIS,IND,WF,WF 1000075,461 in the burned area,India,18,32727 ha
WF_VNM_20210321_76,Green,1,GREEN,1,Viet Nam,3/21/2021,2021-04-08T00:00:00,5109,GWIS,VNM,WF,WF 1000078,976 in the burned area,Viet Nam,18,5109 ha
WF_IND_20210324_77,Green,1,GREEN,1,India,3/24/2021,2021-04-08T00:00:00,14538,GWIS,IND,WF,WF 1000062,612 in the burned area,India,15,14538 ha
WF_IND_20210327_78,Green,1,GREEN,1,India,3/27/2021,2021-04-08T00:00:00,7223,GWIS,IND,WF,WF 1000040,0 in the burned area,India,12,7223 ha
WF_IND_20210327_79,Green,1,GREEN,1,India,3/27/2021,2021-04-08T00:00:00,6910,GWIS,IND,WF,WF 1000045,0 in the burned area,India,12,6910 ha
WF_IND_20210326_80,Green,1,GREEN,1,India,3/26/2021,2021-04-08T00:00:00,5246,GWIS,IND,WF,WF 1000049,0 in the burned area,India,13,5246 ha
