disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,Death,Displaced,GDACS_ID
FL_UNK_20071027_1242,"[106.69, 10.767]",GREEN Flood in Vietnam from: 27 Oct 2007 00 to: 27 Oct 2007 00.,GREEN,1,Green,1,Vietnam,10/27/2007,2007-10-27T00:00:00,3.24,DFO,   ,FL,0,-,FL 3215
FL_UNK_20071027_1243,"[123.381, 13.357]",GREEN Flood in Philippines from: 27 Oct 2007 00 to: 27 Oct 2007 00.,GREEN,1,Green,1,Philippines,10/27/2007,2007-10-27T00:00:00,4.51,DFO,   ,FL,20,-,FL 3216
FL_UNK_20071027_1244,"[79.7, 12.725]",GREEN Flood in India from: 27 Oct 2007 00 to: 27 Oct 2007 00.,GREEN,1,Green,1,India,10/27/2007,2007-10-27T00:00:00,5.66,DFO,   ,FL,29,50000,FL 3217
FL_UNK_20071025_1245,"[15.381, -4.368]",GREEN Flood in Democratic Republic of Congo from: 25 Oct 2007 00 to: 25 Oct 2007 00.,GREEN,1,Green,1,Democratic Republic of Congo,10/25/2007,2007-10-25T00:00:00,4.14,DFO,   ,FL,30,3500,FL 3214
FL_UNK_20071024_1246,"[-43.415, -22.718]",GREEN Flood in Brazil from: 24 Oct 2007 00 to: 24 Oct 2007 00.,GREEN,1,Green,1,Brazil,10/24/2007,2007-10-24T00:00:00,3.47,DFO,   ,FL,6,2272,FL 3213
FL_UNK_20071022_1247,"[99.002, 9.722]",GREEN Flood in Thailand from: 22 Oct 2007 00 to: 22 Oct 2007 00.,GREEN,1,Green,1,Thailand,10/22/2007,2007-10-22T00:00:00,5.07,DFO,   ,FL,2,-,FL 3211
FL_UNK_20071020_1248,"[105.514, 11.011]",ORANGE Flood in Vietnam from: 20 Oct 2007 00 to: 20 Oct 2007 00.,ORANGE,2,Orange,2,Vietnam,10/20/2007,2007-10-20T00:00:00,6.11,DFO,   ,FL,3,280000,FL 3210
FL_UNK_20071125_1249,"[122.01, 17.078]",ORANGE Flood in Philippines from: 25 Nov 2007 00 to: 25 Nov 2007 00.,ORANGE,2,Orange,2,Philippines,11/25/2007,2007-11-25T00:00:00,5.43,DFO,   ,FL,29,540000,FL 3232
FL_UNK_20071125_1250,"[20.798, 42.762]",GREEN Flood in Serbia and Montenegro from: 25 Nov 2007 00 to: 25 Nov 2007 00.,GREEN,1,Green,1,Serbia and Montenegro,11/25/2007,2007-11-25T00:00:00,4.74,DFO,   ,FL,0,3500,FL 3234
FL_UNK_20071124_1251,"[2.96, 36.747]",GREEN Flood in Algeria from: 24 Nov 2007 00 to: 24 Nov 2007 00.,GREEN,1,Green,1,Algeria,11/24/2007,2007-11-24T00:00:00,5.28,DFO,   ,FL,15,1200,FL 3233
