disaster_id,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Duration,Impact
DR_COD_20211021_878,"Green Drought in Democratic Republic of Congo, Zambia from: 21 Oct 2021  to: 03 Jul 2022 .",Green,1,Green,0.25,"Democratic Republic of Congo, Zambia",10/21/2021,2022-07-03T00:00:00,48434,GDO,COD,DR,DR 1015281,223 days (at 10 Jun 2022),Minor impact for agricultural drought in 48434 km2
DR_ESP_20211021_879,"Green Drought in Spain, Portugal from: 21 Oct 2021  to: 30 May 2022 .",Green,1,Green,0.5,"Spain, Portugal",10/21/2021,2022-05-30T00:00:00,31463,GDO,ESP,DR,DR 1015249,182 days (at 20 May 2022),Minor impact for agricultural drought in 31463 km2
DR_DZA_20211101_891,"Green Drought in Algeria, Morocco, Tunisia from: 01 Nov 2021  to: 28 Sep 2022 .",Green,1,Green,0.75,"Algeria, Morocco, Tunisia",11/1/2021,2022-09-28T00:00:00,126944,GDO,DZA,DR,DR 1014695,283 days (at 20 Aug 2022),Minor impact for agricultural drought in 126944 km2
DR_HTI_20211121_896,Green Drought in Haiti from: 21 Nov 2021  to: 04 Apr 2022 .,Green,1,Green,0.25,Haiti,11/21/2021,2022-04-04T00:00:00,1457,GDO,HTI,DR,DR 1015291,100 days (at 10 Mar 2022),Minor impact for agricultural drought in 1457 km2
DR_AGO_20211211_909,Green Drought in Angola from: 11 Dec 2021  to: 28 Sep 2022 .,Green,1,Green,0.25,Angola,12/11/2021,2022-09-28T00:00:00,8243,GDO,AGO,DR,DR 1015356,243 days (at 20 Aug 2022),Minor impact for agricultural drought in 8243 km2
DR_BRA_20220121_919,Green Drought in Brazil from: 21 Jan 2022  to: 12 Jul 2023 .,Green,1,Green,0.25,Brazil,1/21/2022,2023-07-12T00:00:00,47674,GDO,BRA,DR,DR 1015559,506 days (at 20 Jun 2023),Minor impact for agricultural drought in 47674 km2
DR_GRC_20220121_920,"Green Drought in Greece, Türkiye from: 21 Jan 2022  to: 19 Jun 2023 .",Green,1,Green,0.25,"Greece, Türkiye",1/21/2022,2023-06-19T00:00:00,8147,GDO,GRC,DR,DR 1015426,475 days (at 20 May 2023),Minor impact for agricultural drought in 8147 km2
DR_BEL_20220221_939,"Green Drought in Belgium, Czech Republic, Germany, France, Luxembourg, Poland, Sweden, from: 21 Feb 2022  to: 30 Jul 2022 .",Green,1,Green,0.75,"Belgium, Czech Republic, Germany, France, Luxembourg, Poland, Sweden, ",2/21/2022,2022-07-30T00:00:00,259545,GDO,BEL,DR,DR 1015605,150 days (at 30 Jul 2022),Minor impact for agricultural drought in 259545 km2
DR_TZA_20220321_947,"Green Drought in Tanzania, Mozambique from: 21 Mar 2022  to: 24 Jun 2023 .",Green,1,Green,0.75,"Tanzania, Mozambique",3/21/2022,2023-06-24T00:00:00,195576,GDO,TZA,DR,DR 1014742,426 days (at 30 May 2023),Minor impact for agricultural drought in 195576 km2
DR_CHN_20220321_950,"Green Drought in China, Mongolia from: 21 Mar 2022  to: 01 Mar 2023 .",Green,1,Green,0.25,"China, Mongolia",3/21/2022,2023-03-01T00:00:00,35174,GDO,CHN,DR,DR 1015623,306 days (at 30 Jan 2023),Minor impact for agricultural drought in 35174 km2
DR_USA_20220321_951,Green Drought in United States from: 21 Mar 2022  to: 28 Sep 2022 .,Green,1,Green,0.25,United States,3/21/2022,2022-09-28T00:00:00,8376,GDO,USA,DR,DR 1015553,143 days (at 20 Aug 2022),Minor impact for agricultural drought in 8376 km2
DR_ITA_20220321_956,"Green Drought in Italy, from: 21 Mar 2022  to: 10 Jul 2022 .",Green,1,Green,0.75,"Italy, ",3/21/2022,2022-07-10T00:00:00,40964,GDO,ITA,DR,DR 1015511,102 days (at 10 Jul 2022),Minor impact for agricultural drought in 40964 km2
DR_CAN_20220321_958,"Green Drought in Canada, United States from: 21 Mar 2022  to: 06 Jun 2022 .",Green,1,Green,0.25,"Canada, United States",3/21/2022,2022-06-06T00:00:00,33347,GDO,CAN,DR,DR 1015512,41 days (at 10 May 2022),Minor impact for agricultural drought in 33347 km2
DR_NGA_20220421_963,Green Drought in Nigeria from: 21 Apr 2022  to: 24 Jun 2023 .,Green,1,Green,0.25,Nigeria,4/21/2022,2023-06-24T00:00:00,48739,GDO,NGA,DR,DR 1015792,395 days (at 30 May 2023),Minor impact for agricultural drought in 48739 km2
DR_TUR_20220421_973,Green Drought in Türkiye from: 21 Apr 2022  to: 18 Jul 2022 .,Green,1,Green,0.5,Türkiye,4/21/2022,2022-07-18T00:00:00,48149,GDO,TUR,DR,DR 1015589,51 days (at 20 Jun 2022),Minor impact for agricultural drought in 48149 km2
DR_ESP_20220521_980,"Green Drought in Spain, Portugal from: 21 May 2022  to: 19 Sep 2023 .",Green,1,Green,0.25,"Spain, Portugal",5/21/2022,2023-09-19T00:00:00,24778,GDO,ESP,DR,DR 1015708,457 days (at 30 Aug 2023),Minor impact for agricultural drought in 24778 km2
DR_ARG_20220521_981,"Green Drought in Argentina, Chile from: 21 May 2022  to: 16 Sep 2023 .",Green,1,Green,0.5,"Argentina, Chile",5/21/2022,2023-09-16T00:00:00,43237,GDO,ARG,DR,DR 1015709,447 days (at 20 Aug 2023),Minor impact for agricultural drought in 43237 km2
DR_PER_20220521_982,Green Drought in Peru from: 21 May 2022  to: 12 Jul 2023 .,Green,1,Green,0.25,Peru,5/21/2022,2023-07-12T00:00:00,11978,GDO,PER,DR,DR 1015767,386 days (at 20 Jun 2023),Minor impact for agricultural drought in 11978 km2
DR_IND_20220521_988,"Green Drought in India, Myanmar from: 21 May 2022  to: 12 Apr 2023 .",Green,1,Green,0.5,"India, Myanmar",5/21/2022,2023-04-12T00:00:00,22785,GDO,IND,DR,DR 1015771,294 days (at 20 Mar 2023),Minor impact for agricultural drought in 22785 km2
DR_RUS_20220621_1012,Green Drought in Russia from: 21 Jun 2022  to: 17 Jan 2023 .,Green,1,Green,0.25,Russia,6/21/2022,2023-01-17T00:00:00,190173,GDO,RUS,DR,DR 1015849,173 days (at 20 Dec 2022),Minor impact for agricultural drought in 190173 km2
