Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS_ID,People_Affected,Duration (days),Burned_Area
WF_NPL_20210316_61,Green,1,GREEN,1,Nepal,3/16/2021,4/16/2021,58755,GWIS,NPL,WF,WF 1000095,33676,31,58755 hectare
WF_IND_20210328_62,Green,1,GREEN,1,India,3/28/2021,4/16/2021,5206,GWIS,IND,WF,WF 1000037,7025,19,5206 hectare
WF_CHN_20210330_63,Green,1,GREEN,1,China,3/30/2021,4/15/2021,10020,GWIS,CHN,WF,WF 1000029,14156,16,10020 hectare
WF_MLI_20210331_64,Green,1,GREEN,1,Mali,3/31/2021,4/14/2021,6439,GWIS,MLI,WF,WF 1000026,3,14,6439 hectare
WF_KHM_20210308_65,Green,1,GREEN,1,Cambodia,3/8/2021,4/13/2021,7037,GWIS,KHM,WF,WF 1000104,0,36,7037 hectare
WF_IND_20210325_66,GREEN,1,GREEN,1,India,3/25/2021,4/12/2021,21944,GWIS,IND,WF,WF 1000378,21061,18,21944 hectare
WF_IND_20210331_67,Green,1,GREEN,1,India,3/31/2021,4/12/2021,5259,GWIS,IND,WF,WF 1000027,0,12,5259 hectare
WF_IND_20210325_68,Green,1,GREEN,1,India,3/25/2021,4/12/2021,5130,GWIS,IND,WF,WF 1000055,148,18,5130 hectare
WF_IND_20210324_69,Green,1,GREEN,1,India,3/24/2021,4/11/2021,8947,GWIS,IND,WF,WF 1000061,5005,18,8947 hectare
WF_IND_20210327_70,Green,1,GREEN,1,India,3/27/2021,4/10/2021,5727,GWIS,IND,WF,WF 1000044,1728,14,5727 hectare
WF_COD_20210328_71,Green,1,GREEN,1,Congo,3/28/2021,4/9/2021,5454,GWIS,COG,WF,WF 1000038,163,12,5454 hectare
WF_CHN_20210325_72,Green,1,GREEN,1,China,3/25/2021,4/9/2021,5590,GWIS,CHN,WF,WF 1000054,3603,15,5590 hectare
WF_CHN_20210330_73,GREEN,1,GREEN,1,China,3/30/2021,4/9/2021,8154,GWIS,CHN,WF,WF 1000369,9627,10,8154 hectare
WF_IND_20210327_74,GREEN,1,GREEN,1,India,3/27/2021,4/8/2021,11149,GWIS,IND,WF,WF 1000373,0,12,11149 hectare
WF_IND_20210321_75,Green,1,GREEN,1,India,3/21/2021,4/8/2021,32727,GWIS,IND,WF,WF 1000075,461,18,32727 hectare
WF_VNM_20210321_76,Green,1,GREEN,1,Viet Nam,3/21/2021,4/8/2021,5109,GWIS,VNM,WF,WF 1000078,976,18,5109 hectare
WF_IND_20210324_77,Green,1,GREEN,1,India,3/24/2021,4/8/2021,14538,GWIS,IND,WF,WF 1000062,612,15,14538 hectare
WF_IND_20210327_78,Green,1,GREEN,1,India,3/27/2021,4/8/2021,7223,GWIS,IND,WF,WF 1000040,0,12,7223 hectare
WF_IND_20210327_79,Green,1,GREEN,1,India,3/27/2021,4/8/2021,6910,GWIS,IND,WF,WF 1000045,0,12,6910 hectare
WF_IND_20210326_80,Green,1,GREEN,1,India,3/26/2021,4/8/2021,5246,GWIS,IND,WF,WF 1000049,0,13,5246 hectare
