Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,Death,Displaced,GDACS_ID,,,,
FL_IDN_20001121_101,Orange,2,Orange,2,Indonesia,11/21/2000,12/1/2000,6.58,DFO,IDN,FL,243,68682,FL 1671,,,,
FL_VNM_20001118_102,Green,1,Green,1,Viet Nam,11/18/2000,11/26/2000,5.65,DFO,VNM,FL,36,25000,FL 1668,,,,
FL_ZAF_20001119_103,Green,1,Green,1,South Africa,11/19/2000,11/23/2000,5.11,DFO,ZAF,FL,3,3000,FL 1670,,,,
FL_LKA_20001118_104,Orange,2,Orange,2,Sri Lanka,11/18/2000,11/22/2000,4.58,DFO,LKA,FL,3,300000,FL 1669,,,,
FL_UNK_20001120_105,Orange,2,Orange,2,Mali,11/20/2000,11/20/2000,5.75,DFO,MLI,FL,0,150000,FL 1672,,,,
FL_SAU_20001115_106,Green,1,Green,1,Saudi Arabia,11/15/2000,11/18/2000,4.64,DFO,SAU,FL,7,300,FL 1666,,,,
FL_VEN_20001112_107,Green,1,Green,1,Bolivarian Republic Of Venezuela,11/12/2000,11/17/2000,5.67,DFO,VEN,FL,3,6000,FL 1665,,,,
FL_CAN_20001108_108,Green,1,Green,1,Canada,11/8/2000,11/10/2000,4.36,DFO,CAN,FL,0,0,FL 1664,,,,
FL_USA_20001102_109,Green,1,Green,1,Usa,11/2/2000,11/7/2000,4.76,DFO,USA,FL,6,0,FL 1661,,,,
FL_ITA_20001105_110,Green,1,Green,1,Italy,11/5/2000,11/7/2000,4.85,DFO,ITA,FL,3,30,FL 1662,,,,
FL_IDN_20001105_111,Green,1,Green,1,Indonesia,11/5/2000,11/7/2000,4.36,DFO,IDN,FL,21,0,FL 1663,,,,
FL_PHL_20001103_112,Orange,2,Orange,2,Philippines,11/3/2000,11/5/2000,4.25,DFO,PHL,FL,43,668000,FL 1660,,,,
FL_TWN_20001101_113,Green,1,Green,1,China,11/1/2000,11/4/2000,4.25,DFO,CHN,FL,58,0,FL 1658,,,,
FL_TWN_20001101_113,Green,1,Green,1,"Taiwan, Province Of China",11/1/2000,11/4/2000,4.25,DFO,TWN,FL,58,0,FL 1658,,,,
FL_USA_20001102_114,Green,1,Green,1,Usa,11/2/2000,11/3/2000,2.24,DFO,USA,FL,0,100,FL 1659,,,,
